address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,CompanyExecutives,totalRevenueInt,encoded_address2,longitude,latitude
"No. 34, 36, 38 & 40, Lorong IKS Bukit Tengah",Taman IKS Bukit Tengah,Bukit Mertajam,14000,Malaysia,60 4 508 8318,60 4 508 0318,https://cnergenz.com,Electrical Equipment & Parts,Industrials,"Cnergenz Berhad provides electronics manufacturing solutions in Malaysia, Thailand, Vietnam, other Asian countries, and internationally. The company offers surface mount technology (SMT) manufacturing solution for the electronics and semiconductor industries. It also engages in the design, development, assembly, configuration, integration, testing, and commissioning of integrated production line systems and smart factory solutions for SMT manufacturing industries. In addition, the company offers SMT machines, equipment, spare parts, tools, and consumables; and provides related repair, maintenance, and support services. Cnergenz Berhad was incorporated in 2004 and is headquartered in Bukit Mertajam, Malaysia.",,,31/12/2023,86400.0,4.0,0.715,0.71,0.7,0.71,0.715,0.71,0.7,0.71,0.01,0.0123000005,19/03/2024,0.27969998,,,,478200.0,478200.0,,4.0,4.0,0.705,0.71,"RM 353,580,000.00",0.65,0.915,2.1867366,0.8832,0.90705,0.008,0.011188813,MYR,"RM 236,844,992.00",0.08798,"RM 137,313,540.00","RM 498,000,000.00",0.7336,0.19756001,0.323,2.1981423,31/12/2023,31/12/2024,31/12/2023,,"RM 14,225,000.00",0.03,,,1.465,13.392,KLS,EQUITY,0246.KL,0246.KL,CNERGEN,Cnergenz Berhad,24/05/2022,Asia/Kuala_Lumpur,MYT,d7ed0f89-6d88-3185-a866-3b1c703f57e3,28800000.0,0.71,,,,,,none,,"RM 121,446,000.00",0.244,"RM 17,686,000.00","RM 2,221,000.00",4.255,4.793,"RM 161,692,992.00",1.379,0.325,0.04666,0.09193,"RM 15,234,250.00","RM 21,569,000.00",,-0.122,0.16859,0.10938,-0.0435,MYR,,"Mr. Yhin Choy  Lye, CEO & Executive Director; Mr. Chia Liang  Kong, COO & Executive Director; Mr. Thim Loong Lye, Chief Corporate Officer & Executive Director; Mr. Mu Xuan  Goh, Chief Financial Officer; Ms. Tze-En  Ong MAICSA, Company Secretary",161692992.0,Taman%20IKS%20Bukit%20Tengah,,
Bandar Leila,Block G Lot 3B W.D.T. 259,Sandakan,90009,Malaysia,60 8 961 6263,60 8 961 6654,https://www.coastalcontracts.com,Aerospace & Defense,Industrials,"Coastal Contracts Bhd, an investment holding company, provides energy infrastructure and marine services and solutions in Malaysia, Mexico, Saudi Arabia, and internationally. It operates through three segments: Gas Processing; Vessels Manufacturing and Repairing Services; and Vessels Chartering and Equipment Hire. The Gas Processing segment provides onshore gas conditioning and jack-up gas compression. The Vessels Manufacturing and Repairing Services segment engages in fabrication and sale of offshore support and marine transportation vessels, as well as provision of ship repairs and maintenance services. The Vessels Chartering and Equipment Hire segment offers vessels transportation and equipment hiring services. It is also involved in the sub-contract services; vessels chartering, towing, and leasing services; property letting, marketing, and ship delivery services; tugboat and barge transportation; and management and operation of offshore vessels. The company was founded in 1976 and is based in Sandakan, Malaysia.",,,31/12/2019,86400.0,4.0,1.62,1.6,1.59,1.61,1.62,1.6,1.59,1.61,,,14/09/2017,,1.97,0.777,8.888888,95200.0,95200.0,231954.0,226110.0,226110.0,1.59,1.6,"RM 854,819,264.00",1.43,2.41,3.8432002,1.5274,1.76705,,,MYR,"RM 593,873,088.00",0.97933996,"RM 187,572,737.00","RM 534,262,016.00",0.67471004,0.12889,3.258,0.49109885,31/12/2023,31/12/2024,31/12/2023,,"RM 217,828,608.00",0.98,0.18,0.83,2.67,32.269,KLS,EQUITY,5071.KL,5071.KL,COASTAL,Coastal Contracts Bhd,13/08/2003,Asia/Kuala_Lumpur,MYT,c74cb690-be35-3450-ade6-18b98144639e,28800000.0,1.6,1.62,1.22,1.36,1.25,4.0,underperform,3.0,"RM 342,576,000.00",0.641,"RM 18,403,984.00","RM 56,771,000.00",2.442,5.703,"RM 222,423,824.00",3.251,0.419,,,,"RM 109,192,040.00",,-0.223,0.33262002,0.08274,0.0294,MYR,,"Mr. Chin Heng Ng, Executive Chairman; Mr. Chin Shin Ng, Executive Director; Madam Alice  Ng, Executive Director; Mr. Wei Ket Kong, CFO & Group Accountant; Ms. Shuk Wai Tan, Chief Accountant; Mr. Wei Liang Lim, General Manager of Technical; Ms. Kanan  Zandani, General Counsel; Ms. Wei Kam Luk, Company Secretary; Ms. Ling Ling Ho, Company Secretary",222423824.0,Block%20G%20Lot%203B%20W.D.T.%20259,,
Lot 821,Jalan Matang,Taiping,34750,Malaysia,60 5 8472 777,60 5 8479 108,https://www.comfort-rubber.com.my,Medical Instruments & Supplies,Healthcare,"Comfort Gloves Berhad, an investment holding company, manufactures and trades in latex gloves in Malaysia, the United States, Asia, Europe, Canada, and internationally. It operates through Manufacturing, Investment Holding, Trading, and Others segments. The company offers natural rubber, nitrile, and specialty gloves; and provides management services. It also exports its products. The company was formerly known as Integrated Rubber Corporation Berhad and changed its name to Comfort Gloves Berhad in August 2015. Comfort Gloves Berhad was incorporated in 1937 and is based in Taiping, Malaysia.",1464.0,,31/12/2023,86400.0,4.0,0.51,0.515,0.515,0.53,0.51,0.515,0.515,0.53,,,07/10/2021,,,0.736,,3510500.0,3510500.0,2600442.0,9742940.0,9742940.0,0.51,0.515,"RM 298,184,992.00",0.34,0.565,0.9150065,0.4376,0.4188,,,MYR,"RM 91,765,512.00",-0.112959996,"RM 339,421,347.00","RM 579,000,000.00",0.41511002,0.022349998,1.502,0.34287617,31/12/2023,31/12/2024,31/12/2023,,"RM -36,812,872.00",-0.06,,,0.282,-11.296,KLS,EQUITY,2127.KL,2127.KL,COMFORT,Comfort Gloves Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,8806a643-995b-3b02-b2b8-1747d0df3c28,28800000.0,0.515,,,,,5.0,sell,,"RM 248,478,336.00",0.429,"RM -8,123,721.00","RM 44,953,868.00",4.964,6.058,"RM 325,882,912.00",5.169,0.563,-0.03384,-0.041789997,"RM 15,904,562.00","RM 11,368,597.00",,-0.29,-0.07324,-0.02493,-0.21133,MYR,,"Mr. Eng Guang Lau DSDK, Executive Chairman; Mr. Joo Yong Lau, Group CEO & Executive Director; Mr. Joo Pern Lau, Executive Director; Mr. Wai Leong Leong, VP & CFO; Ms. Eoi Leng  Chan, Secretary; Ms. Kwai Yoong Chong, Joint Secretary",325882912.0,Jalan%20Matang,,
"No. 1 & 3, Jalan Jalil Jaya 3",Jalil Link Bukit Jalil,Kuala Lumpur,57000,Malaysia,60 3 8998 7666,60 3 8998 7788,https://www.comcorp.com.my/comcorp,Real Estate—Development,Real Estate,"Binastra Corporation Berhad, an investment holding company, engages in the system integration and maintenance services business in Malaysia and internationally. The company's System Integration and Maintenance Services segment provides turnkey engineering design and integration, program management, installation, and commissioning services, as well as electronic systems testing and repair services. Its Construction segment offers construction works and related services. The company's Green Waste Management and Conversion of Waste-to-Energy segment provides engineering, procurement, construction, and program management services for green waste management and waste-to-energy solution. It also acts as a general contractor and property developer. The company was formerly known as Comintel Corporation Bhd and changed its name to Binastra Corporation Berhad in March 2024. Binastra Corporation Berhad was incorporated in 2003 and is based in Kuala Lumpur, Malaysia.",,,,86400.0,4.0,1.93,1.93,1.91,1.99,1.93,1.93,1.91,1.99,,,02/04/2018,,,0.058,,752600.0,752600.0,454318.0,915380.0,915380.0,1.98,1.99,"RM 985,545,024.00",0.815,1.99,2.317828,1.675085,1.4128712,,,MYR,"RM 872,102,016.00",0.09589,"RM 9,932,375.00","RM 497,750,016.00",0.98027,,0.184,10.76087,31/01/2024,31/01/2025,31/01/2024,1.763,"RM 41,588,000.00",0.06,,,2.051,15.395,KLS,EQUITY,7195.KL,7195.KL,BNASTRA,Binastra Corporation Berhad,16/08/2004,Asia/Kuala_Lumpur,MYT,ce22920f-f9f1-3167-b96b-d67d74498452,28800000.0,1.98,,,,,,none,,"RM 26,117,000.00",0.058,"RM 56,650,000.00","RM 24,894,000.00",1.279,1.347,"RM 425,201,984.00",29.917,1.063,0.15991999,0.66196996,"RM -18,247,250.00","RM 12,976,000.00",1.131,1.095,0.14246,0.13323,0.13244,MYR,,"Mr. Kak Seng Tan, MD & Director; Mr. Seng Yong Lee, Executive Director; Ms. Chai Pheng Liong, Chief Financial Officer; Ms. Mee Kee  Mok MAICSA, Company Secretary; Ms. Fei San  Seow, Company Secretary",425201984.0,Jalil%20Link%20Bukit%20Jalil,,
"No. 3, Jalan PJU 1/41",Block C1 Dataran Prima,Petaling Jaya,47301,Malaysia,60 3 7880 8133,60 3 7880 6133,https://www.compugates.com,Electronics & Computer Distribution,Technology,"Compugates Holdings Berhad, an investment holding company, engages in trading, marketing, and distributing imaging, information technology, and communication-based products in Malaysia. It operates in two segments: Trading, Services, and Property Development; and Agriculture. The company distributes consumer electronics, such as printers, scanners, consumables, desktop, and laptop products. In addition, it is involved in trading, marketing, and distributing gaharu tea; gaharu tree plantation business; land owning and property investment holding business; trading and cultivating agricultural products; and the provision of management services. The company was founded in 1997 and is based in Petaling Jaya, Malaysia.",,,31/12/2023,86400.0,4.0,0.02,0.02,0.015,0.02,0.02,0.02,0.015,0.02,,,27/08/1999,,,1.357,,295300.0,295300.0,1360076.0,2449050.0,2449050.0,0.015,0.015,"RM 82,505,544.00",0.005,0.02,5.33464,0.0128,0.01275,,,MYR,"RM 137,878,048.00",-0.4914,"RM 1,710,488,761.00","RM 5,500,369,920.00",0.70822996,,0.021,0.71428573,31/12/2023,31/12/2024,31/12/2023,,"RM -7,600,000.00",,,,8.915,-18.66,KLS,EQUITY,5037.KL,5037.KL,COMPUGT,Compugates Holdings Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,44cb2791-f00b-3361-9ce0-b7b98fd980ef,28800000.0,0.015,,,,,,none,,"RM 363,000.00",,"RM -7,389,000.00","RM 1,256,000.00",0.541,3.349,"RM 15,466,000.00",0.87,0.003,-0.0272,-0.0561,"RM -8,671,625.00","RM -7,466,000.00",,4.377,0.0075,-0.47776002,-0.40691003,MYR,,"Ms. Thoo Chan See, Executive Director; Mr. Kheng Peow Goh, Chief Executive Officer; Mr. Pow Jack Yau, Head of Finance; Chee Hau Hew, Company Secretary; Mr. Ngee Chuang Chang, Company Secretary",15466000.0,Block%20C1%20Dataran%20Prima,,
"Lot 2, Jalan Usahawan 5",PKNS Setapak Industrial Area Off Jalan Genting Kelang,Kuala Lumpur,53300,Malaysia,60 3 4023 3611,60 3 4021 3033,https://www.cfm.com.my,Specialty Business Services,Industrials,"Computer Forms (Malaysia) Berhad, together with its subsidiaries, engages in the printing and distribution of computer, stock, and specialized forms in Malaysia, Thailand, and Indonesia. It operates through Business Forms and Data Print Services, Commercial Printing, Flexible Packaging, Business of Property Management, and Others segments. The company offers printed computer papers with logos or names of companies, such as invoices and bills of lading; security forms for use in bank transactions, including bank cheques and gift voucher coupons; mail/pressure seal mailer products comprising pay and reply envelopes; stock forms, such as three line and plain forms; and OMR/OCR forms used by examination boards to grade students. It also prints and supplies exercise books, drawing blocks, and paper files and folders; commercial products, including brochures and newsletters, flyers, paper-based packing products, and annual reports; and artwork and creative design products, personalized greeting cards, digital printing products, and name cards. In addition, the company provides ice cream wrappers, A4 paper wrappers, coconut and confectionery wrappers, coffee sachets, detergent powders, butter wrappers, land titles, and other commercial security items, as well as engages in system development and implementation business. Further, it offers digital printing and enveloping services, as well as produces, prints, and supplies flexible packaging products for FMCG, food and beverage, and paper-based industries; paper converting and trading services; and property management services. The company was formerly known as Malaya Biscuit Manufacturing Company Sdn Bhd and changed its name to Computer Forms (Malaysia) Berhad in February 1971. Computer Forms (Malaysia) Berhad was incorporated in 1961 and is based in Kuala Lumpur, Malaysia.",,,31/12/2023,86400.0,4.0,0.14,0.135,0.135,0.145,0.14,0.135,0.135,0.145,,,01/09/2021,,,0.293,,1466000.0,1466000.0,2656091.0,3337730.0,3337730.0,0.135,0.14,"RM 37,461,340.00",0.125,0.215,1.353797,0.1372,0.152975,,,MYR,"RM -52,800,660.00",-0.34564,"RM 188,558,979.00","RM 267,580,992.00",0.24123,,0.46,0.3043478,30/09/2023,30/09/2024,31/12/2023,0.486,"RM -9,564,195.00",-0.2,,,-1.908,,KLS,EQUITY,8044.KL,8044.KL,CFM,Computer Forms (Malaysia) Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,5e318a7a-f909-32a8-a9fb-48568f1accd4,28800000.0,0.14,,,,,,none,,"RM 97,902,000.00",0.366,,"RM 5,416,000.00",12.877,13.639,"RM 27,671,314.00",4.327,0.106,,,,,0.995,-0.093,0.02645,,0.026199998,MYR,,"Mr. Swee Guan Hoo, Executive Director; Ms. Sor Hua Tea, Company Secretary; Hui Yan Loo, Joint Secretary; Mr. Kian Hwee Koh, General Manager",27671314.0,PKNS%20Setapak%20Industrial%20Area%20Off%20Jalan%20Genting%20Kelang,,
Menara KH (Promet),22nd Floor Jalan Sultan Ismail,Kuala Lumpur,50250,Malaysia,60 3 2144 1066,60 3 2144 4885,https://www.cepco.com.my,Building Materials,Basic Materials,"Concrete Engineering Products Berhad manufactures and distributes prestressed spun concrete piles and poles in Malaysia. The company's spun concrete piles are used in the foundation piles for buildings, pile embankments, retaining walls, columns, bridges, ports, and marine structures; and poles are used for telecommunication, and electric power transmission and distribution lines, as well as traffic signal equipment and street lightings. It exports its products to Asia, Africa, the Oceania, and the Gulf Region. Concrete Engineering Products Berhad was incorporated in 1982 and is headquartered in Kuala Lumpur, Malaysia.",,,31/12/2023,86400.0,4.0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,,,18/11/2013,,,-0.268,,8000.0,8000.0,4377.0,9260.0,9260.0,1.07,1.1,"RM 80,594,568.00",0.88,1.11,0.5889549,1.048,1.037875,,,MYR,"RM 89,418,000.00",0.03692,"RM 17,987,610.00","RM 74,624,600.00",0.75958,,0.823,1.3122722,31/08/2023,31/08/2024,29/02/2024,,"RM 5,052,828.00",0.07,,,0.653,11.253,KLS,EQUITY,8435.KL,8435.KL,CEPCO,Concrete Engineering Products Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,a86d339d-8e10-3cbd-9c56-8cdec0e4fbd5,28800000.0,1.08,,,,,,none,,"RM 2,536,000.00",0.034,"RM 7,946,383.00","RM 11,359,000.00",0.271,0.772,"RM 136,843,360.00",18.487,1.834,0.02786,0.085880004,"RM 11,253,687.00","RM 15,014,517.00",,0.122,0.21024,0.05807,-0.00027000002,MYR,,"Mr. Kway Wah  Leong, MD & Executive Director; Ms. Thai Thye Lee, Joint Secretary; Ms. Norakhmar  Binti Baharom, Company Secretary",136843360.0,22nd%20Floor%20Jalan%20Sultan%20Ismail,,
"Lot 2777, Lorong Industri 5",Kawasan Industri Bukit Panchor,Nibong Tebal,14300,Malaysia,60 4 595 8888,60 4 595 8899,https://www.corazaintech.com,Metal Fabrication,Industrials,"Coraza Integrated Technology Berhad, an investment holding company, provides integrated engineering services in Malaysia, Singapore, the United States, European countries, and Other Asian countries. The company operates in two segments, Fabrication of Sheet Metal (FSM), and Precision Machining (PM). It offers sheet metal fabrication services, such as fibre laser cutting, fibre laser and mono-head punching, and bending services; metal and tungsten inert gas, spot, robotic fibre laser, flux core arc, and stud welding services; brazing services; precision machining services, which include milling, turning, turn-milling, and tapping services; and sub-modular assembly services, including mechanical and electro-mechanical assembly services, as well as design and development services. The company serves semiconductor, instrumentation, life science and medical devices, telecommunications, aerospace, and electrical and electronics industries. Coraza Integrated Technology Berhad was incorporated in 2001 and is based in Nibong Tebal, Malaysia.",687.0,,31/12/2023,86400.0,4.0,0.565,0.57,0.565,0.575,0.565,0.57,0.565,0.575,,,,,,0.41,,3300200.0,3300200.0,4783206.0,9505550.0,9505550.0,0.57,0.575,"RM 281,363,968.00",0.385,0.86,3.487469,0.5203,0.532075,,,MYR,"RM 251,675,264.00",-0.033099998,"RM 179,707,807.00","RM 493,620,992.00",0.65406,0.096140005,0.255,2.235294,31/12/2023,31/12/2024,31/12/2023,,"RM -2,670,588.00",-0.01,,,3.119,82.036,KLS,EQUITY,0240.KL,0240.KL,CORAZA,Coraza Integrated Technology Berhad,20/01/2022,Asia/Kuala_Lumpur,MYT,4e3fc061-1c85-3db6-97d5-dc7ef1a9be2d,28800000.0,0.57,0.67,0.6,0.64,0.64,1.7,buy,3.0,"RM 54,734,456.00",0.111,"RM 3,067,846.00","RM 27,513,622.00",2.407,3.325,"RM 80,678,560.00",21.85,0.179,-0.01736,-0.02486,"RM -21,357,292.00","RM 6,945,486.00",,-0.562,0.1481,0.03803,-0.28735,MYR,,"Mr. Yook Yuen  Lim, Executive Chairman of the Board; Mr. Teik Hoe Lim, MD, Head of Sales and Marketing &  Executive Director; Ms. Hooi Yin Ooi, Chief Financial Officer; Mr. Han Chin Kor, Head of Operations & Head of Production; Mr. Kottukapallil Joseph Williams, Head of Quality Assurance; Mr. Chian Chiun Tang, Head of Business Development; Mr. Mian Keat Yeaw, Head of Supply Chain; Mr. Choon Leong Lee, Head of Quality Management System; Mr. Kuang Chai Lim, Head of Engineering; Ms. She Chia  Tan, Company Secretary",80678560.0,Kawasan%20Industri%20Bukit%20Panchor,,
"PT 59919, Jalan KPB 6",Kawasan Perindustrian Kg. Baru Balakong,Seri Kembangan,43500,Malaysia,60 3 8964 1222,60 3 8962 3353,https://www.ctib.com.my,Pollution & Treatment Controls,Industrials,"Cosmos Technology International Berhad, an investment holding company, manufactures and distributes fabricated metal parts for industrial applications used in the water, wastewater, and oil and gas industries in Malaysia, the United Arab Emirates, and the United States. The company is involved in the distribution and servicing of fluid control products and telemetry products for water and wastewater applications; and distribution of industrial automation and control instrumentation. Its distributed products are electromagnetic, and ultrasonic flowmeters; level transducers; differential pressure; vibration area flow meter; mass flow meter; paddle type switch; and permanent or portable ultrasonic sensor and others. The company was incorporated in 2019 and is headquartered in Seri Kembangan, Malaysia.",75.0,,31/12/2023,86400.0,4.0,0.47,0.47,0.47,0.475,0.47,0.47,0.47,0.475,0.01,0.0215,27/01/2023,,,,,234000.0,234000.0,2165176.0,945870.0,945870.0,0.47,0.475,"RM 121,837,968.00",0.35,0.57,2.8883193,0.494,0.4353,,,MYR,"RM 118,493,608.00",0.05962,"RM 65,230,846.00","RM 256,500,992.00",0.74569,0.0057599996,0.206,2.3058252,30/04/2023,30/04/2024,31/01/2024,-0.697,"RM 2,515,000.00",0.01,,,2.809,21.754,KLS,EQUITY,0261.KL,0261.KL,COSMOS,Cosmos Technology International Berhad,06/10/2022,Asia/Kuala_Lumpur,MYT,c7819668-c5bc-39d4-aa35-483892605ad7,28800000.0,0.475,,,,,,none,,"RM 11,195,000.00",0.044,"RM 5,447,000.00","RM 9,133,000.00",2.558,3.795,"RM 42,183,000.00",17.314,0.165,,,,"RM -4,130,000.00",-0.7,-0.395,0.25507998,0.12913,0.08845,MYR,,"Mr. Toh Wee  Chong, CEO, MD & Director; Mr. Boon Keong Ng, COO & Executive Director; Ms. Siew Wan Chee, Financial Controller; Mr. Choon Hoong  Goh, Senior Technical Manager; Mr. Syahdan Bin Ab Samad, Sales & Marketing Manager; Ai Peng Tan, Company Secretary",42183000.0,Kawasan%20Perindustrian%20Kg.%20Baru%20Balakong,,
Mines Waterfront Business Park,"8th Floor, Block A No. 3, Jalan Tasik Mines Resort City",Seri Kembangan,43300,Malaysia,60 3 8943 8811,60 3 8941 1470,https://www.countryheights.com.my,Lodging,Consumer Cyclical,"Country Heights Holdings Berhad engages in the property development, investment, hotel and resort management, healthcare, event planning and exhibitions, and timeshare businesses in Malaysia and South Africa. It operates through three segments: Property Development, Property Investment, and Hospitality and Health. The company develops residential and commercial properties, office suites, and golf courses; and leases offices, and exhibition and convention centers. It also provides property management and trading, marketing, hotel and resort management, trade directory, and pre-school education and related services; healthcare packages and timeshare memberships; private medical care facilities and services, as well as medical related facilities and services to the public; event management services; and fine and casual dining, and catering services, as well as operates hotels, Japanese restaurant, estate clubs, and boat clubs. In addition, the company is involved in the warehousing and storage services; visa application processing services; selling private healthcare memberships; letting promotion space; promotion activities; big data and IT related services; and marketing health screening, and palm oil memberships. Further, it operates as a travel agent and tour operator; and wholesales and retails various parts, components, supplies, tools, and accessories for motor vehicles. The company was incorporated in 1984 and is based in Seri Kembangan, Malaysia.",,,31/12/2023,86400.0,4.0,0.28,0.295,0.28,0.295,0.28,0.295,0.28,0.295,,,12/08/2002,,,0.513,,17500.0,17500.0,593027.0,15660.0,15660.0,0.285,0.29,"RM 84,570,616.00",0.2,0.47,1.6554883,0.2643,0.305775,,,MYR,"RM 117,117,896.00",-2.17663,"RM 81,220,405.00","RM 296,739,008.00",0.70862997,0.017970001,2.09,0.13636364,31/12/2023,31/12/2024,31/12/2023,,"RM -111,193,000.00",-0.38,,,2.293,-1.183,KLS,EQUITY,5738.KL,5738.KL,CHHB,Country Heights Holdings Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,1b09e0ea-9d0a-3e88-9315-48e65776f04c,28800000.0,0.285,,,,,,none,,"RM 11,488,000.00",0.039,"RM -99,016,000.00","RM 50,704,000.00",0.164,0.684,"RM 51,085,000.00",8.244,0.172,-0.057140004,-0.16213,"RM 82,591,504.00","RM 1,101,000.00",,-0.083,0.67910004,-1.9382601,-7.14614,MYR,,"Mr. Kim Tiong Lee, Founder; Mr. Hee Boon Chua, Executive Director of Finance; Mr. Tian Pong Chuah, COO & Executive Director of Project; Ms. Sow Lin Lee, Chief IR Officer; Ms. Khavitha Devi Pothuraju, Executive Director of Legal & Compliance; Ms. Shafina  Binti Syafei, Executive Director of Group Public Relations & Marketing Communications; Mr. Wei  Xiong, Executive Director of Digital Technology; Mr. Jimmy  Chow, Vice President of Sales and Marketing; Ms. Ai Wen  Chong, General Manager of Group Human Resources; Poh Chun Wong, Company Secretary",51085000.0,8th%20Floor%2C%20Block%20A%20No.%203%2C%20Jalan%20Tasik%20Mines%20Resort%20City,,
Menara Landmark,"Unit 26-01, Level 26 No. 12, Jalan Ngee Heng Mail Box 261",Johor Bahru,80000,Malaysia,60 7 223 6799,60 7 224 6557,https://www.countryview.com.my,Real Estate—Development,Real Estate,"Country View Berhad, together with its subsidiaries, engages in the property development and investment business in Malaysia. The company develops residential and commercial properties. It also engages in property management activities. In addition, the company leases office, retail, and residential properties. Country View Berhad was incorporated in 1981 and is headquartered in Johor Bahru, Malaysia.",,,31/12/2023,86400.0,4.0,1.46,1.44,1.44,1.44,1.46,1.44,1.44,1.44,0.1,0.0685,07/06/2024,0.6951,5.28,0.301,,10000.0,10000.0,16235.0,36020.0,36020.0,1.4,1.44,"RM 144,000,000.00",0.9,1.66,1.1180211,1.3034,1.16025,0.095,0.06506849,MYR,"RM 346,129,984.00",0.07818,"RM 12,006,000.00","RM 100,000,000.00",0.87994003,,4.148,0.3471553,30/11/2023,30/11/2024,29/02/2024,1.923,"RM 10,069,000.00",0.1,,,2.687,16.638,KLS,EQUITY,5049.KL,5049.KL,CVIEW,Country View Berhad,29/05/2002,Asia/Kuala_Lumpur,MYT,ac78d263-c6b9-3f49-98ed-4632f1970c89,28800000.0,1.44,,,,,,none,,"RM 4,664,000.00",0.047,"RM 20,804,000.00","RM 204,794,000.00",0.588,4.034,"RM 128,799,000.00",49.373,1.288,0.018860001,0.02444,"RM -13,308,000.00","RM -6,099,000.00",1.923,0.775,0.35472,0.16152,0.14022,MYR,,"Dr. Mohamed Al-Amin bin Abdul Majid J.P., Executive Chairman; Mr. Kit Tat Law, Executive Director; Ms. Joon Chin Wong, Executive Director; Mr. Chee Sean Wong, Executive Director; Mr. Gee Min Yee, Group General Manager; Mr. Seng Piow Ong A.C.M.A., C.A., F.C.M.A., Chief Financial Officer; Mr. Siow Ping Hung, Joint Company Secretary; Mr. Wee Hee  Lee, Joint Company Secretary",128799000.0,Unit%2026-01%2C%20Level%2026%20No.%2012%2C%20Jalan%20Ngee%20Heng%20Mail%20Box%20261,,
Public Bank Tower,"18th Floor No. 19, Jalan Wong Ah Fook",Johor Bahru,80000,Malaysia,60 7 224 8316,60 7 223 2562,https://www.crescendo.com.my,Real Estate—Diversified,Real Estate,"Crescendo Corporation Berhad, an investment holding company, invests in, develops, constructs, and manages properties in Malaysia. It operates through Property Development and Construction; Manufacturing and Trading; Property Investment; and Services and Others segments. The Property Development and Construction segment engages in the development industrial, residential, and commercial properties; letting of undeveloped and unsold properties; and building construction. The Manufacturing and Trading segment manufactures and trades in building materials. The Property Investment segment invests in industrial properties. The Services and Others segment provides educational and management services; and cultivates oil palm. It also manufactures, markets, fabricates, and trades in concrete products; acts as a building and general contractor; and undertakes civil engineering works. The company was founded in 1985 and is based in Johor Bahru, Malaysia. Crescendo Corporation Berhad is a subsidiary of Sharikat Kim Loong Sendirian Berhad.",,,31/12/2023,86400.0,4.0,3.6,3.6,3.55,3.6,3.6,3.6,3.55,3.6,0.05,0.0139,24/04/2024,0.439,3.63,0.808,,148000.0,148000.0,575823.0,574900.0,574900.0,3.57,3.58,"RM 1,000,320,000.00",1.15,3.93,2.9305248,3.1926,2.219,0.05,0.01388889,MYR,"RM 1,353,131,392.00",0.16716999,"RM 46,456,203.00","RM 279,419,008.00",0.80346,0.02155,3.509,1.0202336,31/01/2024,31/01/2025,31/01/2024,,"RM 57,064,000.00",0.11,,,3.964,17.186,KLS,EQUITY,6718.KL,6718.KL,CRESNDO,Crescendo Corporation Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,c348b1d5-461f-3af9-8ecb-0dfad7ae70c6,28800000.0,3.58,,,,,,none,,"RM 54,899,000.00",0.196,"RM 78,735,000.00","RM 348,875,008.00",0.894,1.905,"RM 341,344,992.00",33.747,1.222,0.0296,0.05698,"RM -109,615,352.00","RM -72,702,000.00",,2.058,0.34248,0.23066,0.17536,MYR,,"Mr. Seong Lim  Gooi, Chairman & MD; Mr. Seong Heen Gooi, Executive Director; Mr. Seong Gum Gooi, Executive Director; Mr. Seong Chneh Gooi, Executive Director; Ms. Suh Chin Yuen, Group Financial Controller; Mr. Kim Chai Lee, General Manager of Sales & Marketing; Mr. Khai Shin Gooi, Project Director; Mr. Fook Sin Chong AFA, ATII, MACS, MCCS, Company Secretary; Mr. Chee Jing Kan ACIS, Company Secretary; Ms. Yoke Bee Chua, Company Secretary",341344992.0,18th%20Floor%20No.%2019%2C%20Jalan%20Wong%20Ah%20Fook,,
